# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
Aphidoletes_aphidimyza_AA	Bibio_marci_AA	Bradysia_corophila_AA	Contarinia_nasturtii_AA	Dilophus_febrilis_AA	Drosophila_melanogaster_AA	Plecia_longiforceps_AA	Pseudolycoriella_hygida_AA	Resseliella_maxima_AA	Sitodiplosis_mosellana_AA
15833	0	0	0	0	7333	0	0	0	0
1071	19617	27100	19169	0	3002	5671	1561	4625	19361
14781	0	16013	16031	12616	7388	0	15834	11359	10931
0	16324	16015	16030	0	4057	0	0	0	10929
0	0	16009	16029	0	4056	0	0	0	10928
0	0	16007	16032	0	4054	0	0	0	10927
11044	0	11165	0	0	8547	0	0	0	0
515	18484	0	13405	15656	3287	0	0	12502	22316
514	18489	0	0	15645	0	0	12976	0	22344
513	0	24239	13386	0	25977	0	0	0	22315
0	0	792	20312	0	0	2541	0	0	9864
0	19618	27095	19170	0	6430	0	0	0	19372
0	0	27105	19173	0	10361	0	0	0	19371
0	0	27104	19174	0	30025	0	0	0	19370
0	0	27101	0	0	6429	0	0	0	19360
0	0	27103	0	0	0	0	0	0	19359
0	0	27094	0	0	0	0	0	0	19358
0	0	27098	0	0	0	0	0	0	19362
0	0	27106	0	0	0	0	0	0	19366
0	0	27096	0	0	0	0	0	0	19365
0	0	27097	0	0	0	0	0	0	19363
0	0	27102	0	0	0	0	0	0	19369
0	0	27093	0	0	0	0	0	0	19368
0	0	27107	0	0	0	0	0	0	19367
0	0	16014	16033	0	4052	2034	0	0	10932
0	0	11178	0	0	8546	0	0	0	0
0	0	11176	0	0	8552	0	0	0	0
2808	17356	9128	24185	16840	14392	9041	0	5767	23284
0	0	11179	0	0	8549	0	0	0	0
0	0	16018	0	0	7389	0	0	0	0
2807	17363	9129	24187	16831	5336	0	0	0	23291
0	0	11171	0	0	8550	0	0	0	0
0	0	24256	13482	0	25979	9045	0	0	22343
0	0	24254	13473	0	3284	0	0	0	22347
0	0	24255	13490	0	25980	0	0	0	22348
0	0	24213	13356	0	0	0	0	0	22295
0	18494	24223	0	0	0	0	0	0	22336
0	0	24202	13366	0	0	0	0	0	22300
0	18497	24222	0	0	0	0	0	0	22337
0	0	24207	13376	0	0	0	0	0	22296
0	0	24208	13395	0	0	0	0	0	22301
0	0	24249	13414	0	0	0	0	0	22313
0	0	24220	13422	0	0	0	0	0	22317
0	0	24205	13432	0	0	0	0	0	22299
0	0	24214	13508	0	0	0	0	0	22304
0	0	24212	13537	0	0	0	0	0	22302
0	0	24209	13562	0	0	0	0	0	22297
0	0	24225	13599	0	0	0	0	0	22324
0	0	24203	13571	0	0	0	0	0	22305
0	0	24218	13590	0	0	0	0	0	22312
0	0	24221	13546	0	0	0	0	0	22318
0	0	24219	13527	0	0	0	0	0	22308
0	0	11170	0	0	8554	0	0	0	0
0	0	24216	13499	0	0	0	0	0	22326
0	0	24206	13517	0	0	0	0	0	22320
0	0	24228	13554	0	0	0	0	0	22331
0	18475	24211	0	0	0	0	0	0	22307
0	0	24217	13609	0	0	0	0	0	22303
0	18473	24229	0	0	0	0	0	0	22311
0	0	24224	0	0	0	0	0	0	22329
0	0	24227	0	0	0	0	0	0	22319
0	0	24230	0	0	0	0	0	0	22328
0	0	11173	0	0	8548	0	0	0	0
4828	12997	2118	22166	9655	7518	135	1162	5387	7229
4827	13005	0	0	9666	14385	0	0	0	7230
0	0	24210	0	0	0	0	0	0	22310
0	0	0	0	0	7338	0	0	0	9865
12936	15606	18451	8011	13867	14801	0	0	0	4943
0	0	24247	0	0	0	0	0	0	22333
2809	17374	9125	24186	0	14391	0	0	0	23290
2810	0	9126	24189	0	5337	0	0	0	23298
0	0	9127	24188	0	14390	0	0	0	23293
0	0	0	24190	0	5338	0	0	0	23295
6663	13066	13351	18711	11929	8669	4065	3060	8119	16184
6664	13078	13349	18710	11935	8667	0	0	0	16182
0	13091	13348	18714	11920	15464	0	0	0	16186
0	13084	13350	18712	0	8668	0	0	0	16185
0	0	0	13580	0	5431	0	0	0	22332
4887	10371	25750	21914	9587	6041	0	0	2961	13646
0	2866	20602	11303	3972	1358	0	7496	13021	2194
2832	0	7469	12468	17099	0	0	15640	1615	24763
1111	17037	7337	21249	15853	12744	0	0	9264	15342
4231	11659	14394	5487	0	17864	0	4017	8608	28639
1112	17029	7339	21256	15845	22185	0	0	0	15343
11042	6959	0	0	7606	16134	0	707	7010	20225
14196	16297	9224	18606	14054	11636	0	0	3973	6632
14198	16300	9225	18607	0	11635	0	0	0	6631
14200	0	0	0	0	4173	0	0	0	6633
14197	0	0	0	0	4174	0	0	0	6636
0	0	11175	0	0	8553	0	0	0	0
14199	0	0	0	0	4172	0	0	0	6634
14201	0	0	0	0	4175	0	0	0	6637
0	0	11177	0	0	8551	0	0	0	0
4636	12545	17179	0	0	9992	4214	0	1798	3316
0	2218	5531	12124	0	10899	0	0	3757	10534
2833	0	7471	12476	17104	0	0	0	0	0
304	8274	11717	21233	6807	1652	0	10190	9247	22122
616	0	27123	48	0	10934	0	1304	4062	18175
0	0	11174	0	0	8556	0	0	0	0
0	0	24232	13443	0	2327	0	0	0	0
617	0	0	0	0	10932	0	0	0	18174
0	0	13347	0	0	8671	0	0	0	0
2882	18075	1427	8324	16460	1579	0	0	1627	25300
0	0	24234	13454	0	3286	0	0	0	0
0	0	0	0	0	14389	0	0	0	23297
0	0	0	0	0	5340	0	0	0	23296
6709	10127	26191	14553	11934	8608	4062	2669	2009	14399
2101	16994	107	14357	16432	27897	3362	13326	10325	25597
2102	16983	108	14356	0	0	0	0	0	25596
0	0	24246	13463	0	15276	0	0	0	0
0	0	0	14358	0	0	0	0	0	25600
0	0	0	0	0	5339	0	0	0	23289
8814	0	17454	3601	0	16030	0	3849	7418	30716
0	0	0	0	0	5335	0	0	0	23283
0	0	24231	0	0	25981	0	0	0	22342
12597	15369	7031	6646	14773	5008	0	0	1462	659
10626	1277	16979	1509	180	1003	7621	0	12508	29071
0	10366	21669	0	11236	350	0	3960	0	0
0	0	24233	0	0	5430	0	0	0	22321
0	0	24236	0	0	3285	0	0	0	22325
0	0	24242	0	0	25978	0	0	0	22306
0	0	24235	0	0	2329	0	0	0	22309
0	0	24252	0	0	2328	0	0	0	22334
0	0	24250	0	0	2326	0	0	0	22345
0	0	24238	0	0	2325	0	0	0	22322
0	0	24253	0	0	5433	0	0	0	22327
0	0	0	11304	3963	10695	0	0	0	0
0	0	24244	0	0	5429	0	0	0	22323
10535	0	27569	17076	0	0	0	0	229	30730
580	16590	27216	334	16677	8066	0	15350	6009	18527
13607	15283	444	15955	13344	3068	1631	17517	11368	11023
118	0	20107	0	0	0	0	0	0	22155
0	0	24241	0	0	5428	0	0	0	22335
7025	10786	13225	20981	12034	21210	0	0	8409	27522
11043	0	0	0	0	5636	9832	0	0	0
0	0	27218	333	16670	29606	0	0	0	18526
0	0	0	335	16658	0	0	0	0	18525
14941	10813	15464	8744	12199	1981	0	3384	8068	2178
0	10143	26192	0	11928	4366	0	0	0	14402
0	10136	0	0	11941	15436	0	0	0	14404
0	0	0	336	0	0	0	0	0	18524
8040	7159	0	18273	8856	4244	9542	11255	2684	21839
12111	0	13671	2912	0	15148	941	15926	12841	8165
9835	3228	6215	2110	3907	29172	5811	5700	14721	0
0	0	24240	0	0	5434	0	0	0	0
10812	8885	10684	14733	6355	14088	12148	1550	9494	28944
16696	14699	17808	7105	13625	30074	1919	16882	2689	5439
12443	16051	9623	6612	13005	18324	1410	17766	10077	5709
5625	10292	12845	5080	11888	16897	0	0	13673	823
0	10308	12847	5081	0	0	0	0	0	1705
0	13717	0	0	14453	13937	0	0	12838	0
0	0	0	3221	5528	0	0	0	9322	29594
16904	0	537	10650	0	5006	0	0	0	1680
13852	9006	17541	11047	5993	30307	0	0	2846	9236
0	0	534	10651	14084	7112	2069	0	0	1683
10943	7849	13630	15177	7801	8875	0	0	9481	29005
0	8902	19384	0	6842	83	9579	0	95	15425
16563	16214	27221	8104	12428	11187	0	0	0	1616
10944	7868	13638	15178	7809	27767	0	0	0	29016
